,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR
81,Portsmouth,Sheffield United,0.0,0.0,D,0.0,0.0,D,M Donohue,0.2413793103448276,0.42857142857142855,0.16666666666666666,0.4,0.4444444444444444,0.8333333333333334,0.9375,0.6,0.3333333333333333,0.2857142857142857,0.0,0.0
82,Watford,Sunderland,0.3333333333333333,0.16666666666666666,H,0.3333333333333333,0.0,H,A Davies,0.3793103448275862,0.6071428571428571,0.41666666666666663,0.5,0.38888888888888884,0.38888888888888884,0.25,0.4,0.3333333333333333,0.14285714285714285,0.0,0.0
83,Swansea,Bristol City,0.16666666666666666,0.16666666666666666,D,0.3333333333333333,0.0,H,A Kitchen,0.17241379310344826,0.5357142857142857,0.16666666666666666,0.6000000000000001,0.33333333333333337,0.611111111111111,0.1875,0.5333333333333333,0.16666666666666666,0.42857142857142855,0.0,0.0
84,Burnley,Plymouth,0.16666666666666666,0.0,H,0.3333333333333333,0.0,H,R Madley,0.31034482758620685,0.25,0.25,0.0,0.5555555555555555,0.2222222222222222,0.4375,0.06666666666666667,0.16666666666666666,0.0,0.0,0.0
85,Cardiff,Millwall,0.16666666666666666,0.0,H,0.3333333333333333,0.0,H,G Ward,0.27586206896551724,0.39285714285714285,0.41666666666666663,0.5,0.5555555555555555,0.4444444444444444,0.3125,0.4,0.16666666666666666,0.42857142857142855,0.0,0.0
86,Coventry,Blackburn,0.5,0.0,H,0.3333333333333333,0.0,H,J Busby,0.5517241379310345,0.3571428571428571,0.6666666666666666,0.30000000000000004,0.4444444444444444,0.4444444444444444,0.3125,0.06666666666666667,0.16666666666666666,0.42857142857142855,0.0,0.0
87,Luton,Oxford,0.3333333333333333,0.3333333333333333,D,0.6666666666666666,0.3333333333333333,H,J Bell,0.3448275862068966,0.6785714285714285,0.3333333333333333,0.8,0.5,0.4444444444444444,0.3125,0.4,0.5,0.42857142857142855,1.0,0.0
88,Norwich,Leeds,0.16666666666666666,0.16666666666666666,D,0.3333333333333333,0.0,H,S Martin,0.17241379310344826,0.5,0.08333333333333333,0.30000000000000004,0.4444444444444444,0.7777777777777778,0.5625,0.4,0.3333333333333333,0.5714285714285714,0.0,0.0
89,QPR,Hull,0.16666666666666666,0.5,A,0.3333333333333333,0.6666666666666666,A,T Kirk,0.6551724137931034,0.5357142857142857,0.5833333333333333,0.6000000000000001,0.4444444444444444,0.38888888888888884,0.3125,0.4,0.16666666666666666,0.42857142857142855,0.0,0.0
90,Sunderland,Derby,0.3333333333333333,0.0,H,0.3333333333333333,0.0,H,D Whitestone,0.2413793103448276,0.46428571428571425,0.25,0.5,0.16666666666666663,0.8333333333333334,0.0625,0.5333333333333333,0.3333333333333333,0.2857142857142857,0.0,0.0
91,West Brom,Middlesbrough,0.0,0.16666666666666666,A,0.0,0.0,D,D Webb,0.31034482758620685,0.5357142857142857,0.08333333333333333,0.4,0.16666666666666663,0.1111111111111111,0.3125,0.26666666666666666,0.3333333333333333,0.14285714285714285,0.0,0.0
92,Preston,Watford,0.5,0.0,H,0.0,0.0,D,A Kitchen,0.4482758620689655,0.3571428571428571,0.5,0.6000000000000001,0.4444444444444444,0.4444444444444444,0.4375,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0
93,Sheffield United,Swansea,0.16666666666666666,0.0,H,0.3333333333333333,0.0,H,L Doughty,0.4482758620689655,0.25,0.25,0.1,0.5,0.2777777777777778,0.3125,0.3333333333333333,0.5,0.2857142857142857,0.0,0.0
94,Stoke,Portsmouth,1.0,0.16666666666666666,H,1.0,0.3333333333333333,H,T Nield,0.6206896551724138,0.3214285714285714,0.6666666666666666,0.2,0.2777777777777778,0.5,0.1875,0.3333333333333333,0.3333333333333333,0.14285714285714285,0.0,0.0
95,Bristol City,Sheffield Weds,0.0,0.0,D,0.0,0.0,D,A Backhouse,0.27586206896551724,0.2857142857142857,0.16666666666666666,0.1,0.33333333333333337,0.4444444444444444,0.375,0.3333333333333333,0.3333333333333333,0.14285714285714285,0.0,0.0
96,Sunderland,Leeds,0.3333333333333333,0.3333333333333333,D,0.3333333333333333,0.3333333333333333,D,T Robinson,0.4137931034482758,0.5357142857142857,0.3333333333333333,0.4,0.38888888888888884,0.6666666666666666,0.5,0.06666666666666667,0.5,0.42857142857142855,0.0,0.0
